Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search interations
        0    5.70360e+00   2.31729e-03    1.00000e+00    1.00000e+00                0   (INITIAL GUESS)
        1    1.07001e-01   1.36482e-03    4.11028e-01    2.85690e-01               31
        2    2.30578e-01   1.30869e-03    4.11225e-02    1.13517e-01               26
        3    1.26612e-02   1.10791e-03    1.53421e-01    3.14460e-01               26
        4    2.00500e-03   6.31642e-04    4.29882e-01    4.92830e-01               15
        5    1.54310e-02   5.82420e-04    7.79261e-02    1.07514e-01               13
        6    3.60219e-02   5.37478e-04    7.71641e-02    2.51169e-01               18
        7    9.56866e-02   4.81403e-04    1.04329e-01    3.75311e-01               20
        8    5.30735e-03   4.53387e-04    5.81981e-02    9.42304e-02               30
        9    8.11919e-03   4.01700e-04    1.14002e-01    3.96200e-01               11
       10    6.57106e-03   3.97357e-04    1.08119e-02    2.11892e-02               26
       11    6.48722e-03   3.89006e-04    2.10161e-02    6.41901e-02               21
       12    2.14808e-02   2.59026e-04    3.34133e-01    2.73777e-01               15
       13    4.94356e-03   2.33234e-04    9.95737e-02    2.19272e-01               22
       14    1.45770e-03   2.21763e-04    4.91833e-02    7.83163e-02               21
       15    2.17498e-03   2.01808e-04    8.99814e-02    2.41858e-01               12
       16    2.99964e-03   1.96921e-04    2.42178e-02    6.42972e-02               20
       17    2.59955e-03   1.87981e-04    4.53992e-02    1.13910e-01               19
       18    6.91387e-04   1.81524e-04    3.43486e-02    1.02581e-01               19
       19    4.04880e-03   1.76755e-04    2.62694e-02    6.53831e-02               16
       20    2.98901e-03   1.69702e-04    3.99034e-02    1.26041e-01               21
       21    8.05574e-04   1.66170e-04    2.08145e-02    9.05132e-02               21
       22    1.43322e-03   1.63306e-04    1.72365e-02    5.05626e-02               18
       23    3.34053e-03   1.53375e-04    6.08126e-02    2.10470e-01               14
       24    7.55712e-04   1.50081e-04    2.14718e-02    1.02784e-01               21
       25    4.06388e-04   1.47370e-04    1.80699e-02    3.81525e-02               19
       26    7.18389e-04   1.39983e-04    5.01244e-02    1.73209e-01               10
       27    3.47029e+00   1.31223e-04    6.25797e-02    2.13595e-01               12
       28    2.20136e-04   1.30210e-04    7.72065e-03    8.68055e-03               61
       29    1.83522e-03   1.28871e-04    1.02790e-02    4.36284e-02               14
       30    5.96852e-04   1.21130e-04    6.00715e-02    2.49147e-01               16
       31    1.15505e-04   1.20311e-04    6.75820e-03    1.86894e-02               22
       32    1.12239e-03   1.18060e-04    1.87105e-02    6.20411e-02               11
       33    6.08322e-04   1.15578e-04    2.10203e-02    7.95292e-02               20
       34    1.71624e-04   1.12965e-04    2.26080e-02    1.31921e-01               15
       35    1.80439e-04   1.12717e-04    2.19920e-03    6.79790e-03               23
       36    2.37194e-04   1.11005e-04    1.51853e-02    5.88453e-02               14
       37    1.51858e-04   1.09360e-04    1.48224e-02    6.64228e-02               15
       38    1.21676e-04   1.09121e-04    2.18204e-03    1.01119e-02               22
       39    9.33805e-05   1.07378e-04    1.59784e-02    1.30268e-01               10
       40    1.18581e-04   1.06705e-04    6.26749e-03    2.57022e-02               16
       41    8.92170e-05   1.04383e-04    2.17623e-02    9.68376e-02               11
       42    5.69905e-05   1.03491e-04    8.53857e-03    4.05058e-02               14
       43    6.38906e-05   1.00452e-04    2.93676e-02    1.53193e-01                6
       44    7.74604e-05   1.00285e-04    1.66022e-03    9.17514e-03               20
       45    2.75997e-05   9.92688e-05    1.01349e-02    1.06160e-01               10
       46    3.39891e-05   9.84830e-05    7.91540e-03    5.22193e-02                9
       47    3.69283e-05   9.78836e-05    6.08706e-03    5.49471e-02               10
       48    1.67074e-05   9.69463e-05    9.57506e-03    9.18146e-02                8
       49    3.16199e-05   9.65456e-05    4.13303e-03    2.99948e-02               10
       50    1.36083e-05   9.50877e-05    1.51016e-02    7.45760e-02                9
       51    2.33009e-05   9.46969e-05    4.10977e-03    6.19806e-02                7
       52    9.11007e-06   9.45298e-05    1.76375e-03    3.46053e-02               12
       53    1.30936e-05   9.38993e-05    6.67061e-03    1.06573e-01                3
       54    1.13942e-05   9.37360e-05    1.73929e-03    2.30409e-02               11
       55    7.94293e-06   9.27523e-05    1.04943e-02    7.76220e-02                5
       56    1.59997e-05   9.21231e-05    6.78282e-03    8.28485e-02                4
       57    5.14454e-06   9.20664e-05    6.16438e-04    9.43873e-03               17
       58    5.62073e-06   9.16643e-05    4.36704e-03    7.94399e-02                3
       59    8.96746e-06   9.13643e-05    3.27318e-03    4.61991e-02                6
       60    7.52988e-06   9.09602e-05    4.42225e-03    4.28642e-02                8
       61    5.09769e-06   9.06414e-05    3.50555e-03    6.24360e-02                6
       62    1.07460e-05   9.01028e-05    5.94110e-03    5.25082e-02                5
       63    5.15404e-06   8.97771e-05    3.61558e-03    4.38975e-02                9
       64    1.02176e-05   8.94484e-05    3.66100e-03    5.28124e-02                5
       65    5.57608e-06   8.91374e-05    3.47725e-03    4.22877e-02                9
       66    4.32011e-06   8.86202e-05    5.80156e-03    7.21516e-02                4
       67    9.51339e-06   8.83042e-05    3.56654e-03    9.56637e-02                2
       68    9.82186e-06   8.81505e-05    1.74041e-03    2.08920e-02               11
       69    4.75465e-06   8.74754e-05    7.65789e-03    6.62617e-02                6
       70    4.98731e-06   8.70903e-05    4.40226e-03    1.21224e-01                1
       71    1.48606e-05   8.69397e-05    1.73006e-03    2.30485e-02                8
       72    1.18517e-05   8.61819e-05    8.71658e-03    7.91462e-02                7
       73    7.95790e-06   8.57570e-05    4.92923e-03    4.26373e-02                9
       74    7.80288e-06   8.50279e-05    8.50216e-03    5.90299e-02                6
       75    7.61812e-06   8.46304e-05    4.67528e-03    7.17473e-02                5
       76    1.32332e-05   8.37729e-05    1.01328e-02    6.11319e-02                5
       77    6.12717e-06   8.33959e-05    4.49936e-03    6.37650e-02                7
       78    8.17504e-06   8.29811e-05    4.97457e-03    6.20586e-02                5
       79    8.27978e-06   8.22761e-05    8.49612e-03    8.49110e-02                5
       80    1.02170e-05   8.12530e-05    1.24346e-02    1.08860e-01                4
       81    8.87231e-06   8.10636e-05    2.33116e-03    1.83801e-02               12
       82    2.15070e-05   7.98984e-05    1.43736e-02    1.03817e-01                4
       83    2.24676e-05   7.95583e-05    4.25632e-03    6.31005e-02               10
       84    8.36872e-06   7.93343e-05    2.81610e-03    3.04134e-02               13
       85    1.66704e-05   7.85693e-05    9.64204e-03    1.08883e-01                3
       86    1.42926e-05   7.76342e-05    1.19021e-02    1.10170e-01                6
       87    2.07416e-05   7.75621e-05    9.28915e-04    1.23314e-02               15
       88    1.58967e-05   7.71770e-05    4.96444e-03    9.26657e-02                8
       89    1.21651e-05   7.66550e-05    6.76412e-03    5.77128e-02                8
       90    4.98120e-06   7.58311e-05    1.07473e-02    8.48932e-02                5
       91    2.94355e-05   7.56368e-05    2.56324e-03    2.40857e-02                9
       92    1.24308e-05   7.53823e-05    3.36390e-03    7.48715e-02               12
       93    2.29732e-05   7.50473e-05    4.44484e-03    8.15171e-02                7
       94    4.64910e-06   7.48876e-05    2.12734e-03    1.48823e-02               17
